match,team1,team2,match_date,match_number,match_venue,match_city,player_of_the_match,match_umpire1,match_umpire2,first_inning_score,second_inning_score,match_winner,winner_runs,winner_wickets,match_type
EnglandVsNewZealand,England,NewZealand,10/5/2023,1,NarendraModiStadium,Ahmedabad,RRavindra,HDPKDharmasena,NitinMenon,282,283,NewZealand,0,9,Group
PakistanVsNetherlands,Pakistan,Netherlands,10/6/2023,2,RajivGandhiInternationalStadium,Hyderabad,SaudShakeel,ATHoldstock,CMBrown,286,205,Pakistan,81,0,Group
AfghanistanVsBangladesh,Afghanistan,Bangladesh,10/7/2023,3,HimachalPradeshCricketAssociationStadium,Dharamsala,MehediHasanMiraz,JSWilson,HDPKDharmasena,156,158,Bangladesh,0,6,Group
SouthAfricaVsSriLanka,SouthAfrica,SriLanka,10/7/2023,4,ArunJaitleyStadium,Delhi,AKMarkram,RKIllingworth,Sharfuddoula,428,326,SouthAfrica,102,0,Group
AustraliaVsIndia,Australia,India,10/8/2023,5,MAChidambaramStadium,Chennai,KLRahul,CBGaffaney,RAKettleborough,199,201,India,0,6,Group
NewZealandVsNetherlands,NewZealand,Netherlands,10/9/2023,6,RajivGandhiInternationalStadium,Hyderabad,MJSantner,PRReiffel,RJTucker,322,223,NewZealand,99,0,Group
EnglandVsBangladesh,England,Bangladesh,10/10/2023,7,HimachalPradeshCricketAssociationStadium,Dharamsala,DJMalan,AhsanRaza,PWilson,364,227,England,137,0,Group
SriLankaVsPakistan,SriLanka,Pakistan,10/10/2023,8,RajivGandhiInternationalStadium,Hyderabad,MohammadRizwan,AGWharf,CBGaffaney,344,345,Pakistan,0,6,Group
AfghanistanVsIndia,Afghanistan,India,10/11/2023,9,ArunJaitleyStadium,Delhi,RGSharma,MAGough,PRReiffel,272,273,India,0,8,Group
SouthAfricaVsAustralia,SouthAfrica,Australia,10/12/2023,10,BharatRatnaShriAtalBihariVajpayeeEkanaCricketStadium,Lucknow,QdeKock,JSWilson,RKIllingworth,311,177,SouthAfrica,134,0,Group
BangladeshVsNewZealand,Bangladesh,NewZealand,10/13/2023,11,MAChidambaramStadium,Chennai,LHFerguson,HDPKDharmasena,NitinMenon,245,248,NewZealand,0,8,Group
PakistanVsIndia,Pakistan,India,10/14/2023,12,NarendraModiStadium,Ahmedabad,JJBumrah,MErasmus,RKIllingworth,191,192,India,0,7,Group
AfghanistanVsEngland,Afghanistan,England,10/15/2023,13,ArunJaitleyStadium,Delhi,MujeebUrRahman,RJTucker,Sharfuddoula,284,215,Afghanistan,69,0,Group
